"region";"spp_name";"latin_name";"rfmo";"rfmo_stock_id";"x3a_code";"fides_area";"area";"area_bis";"tac_area_description";"comments";;
"North-East Atlantic";"Black scabbardfish";"Aphanopus carbo";"ICES";;"BSF";"8910-";"9, 10, 13";"27_9,27_10,27_13";;"FIDES match but difference with area";;
"North-East Atlantic";"Deep water catsharks";"Apristurus spp.";"ICES";;"API";"No TAC";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_8,27_9,27_10";;;;
"North-East Atlantic";"Greater silver smelt";"Argentina silus";"ICES";;"ARU";"567.";"5, 6, 7";"27_5,27_6,27_7";;"FIDES match";;
"North-East Atlantic";"Meagre";"Argyrosomus regius";"ICES";;"MGR";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";;;;
"North-East Atlantic";"Red gurnard";"Aspitrigla cuculus";"ICES";;"GUR";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";;;;
"North-East Atlantic";"Alfonsinos";"Beryx spp";"ICES";;"ALF";"3X14-";"mars-14";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_11,27_12,27_14";;"FIDES match";;
"North-East Atlantic";"Tusk";"Brosme brosme";"ICES";;"USK";"567EI.";"5, 6, 7";"27_5,27_6,27_7";;"FIDES match";;
"North-East Atlantic";"Edible crab";"Cancer pagurus";"ICES";;"CRE";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";;;;
"North-East Atlantic";"Boarfish";"Capros aper";"ICES";;"BOR";"678-";"6, 7, 8";"27_6,27_7,27_8";"EU and international waters of VI, VII and VIII";"FIDES match";;
"North-East Atlantic";"Gulper shark";"Centrophorus spp.";"ICES";;"CWO";"No TAC";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";;;;
"North-East Atlantic";"Portuguese dogfish";"Centroscymnus coelolepis";"ICES";;"CYO";"No TAC";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_7,27_8,27_9,27_10";;;;
"North-East Atlantic";"Longnose velvet dogfish";"Centroscymnus crepidater";"ICES";;"CYP";"No TAC";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";;;;
"North-East Atlantic";"Black dogfish";"Centroscyllium fabricii";"ICES";;"CFB";"No TAC";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";;;;
"North-East Atlantic";"Frilled shark";"Chlamydoselachus anguineus";"ICES";;"HXC";"No TAC";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";;;;
"North-East Atlantic";"Herring";"Clupea harengus";"ICES";;"HER";"06ACL.";"5a";"27_5_A";;"No FIDES match";;
"North-East Atlantic";"Herring";"Clupea harengus";"ICES";;"HER";"5B6ANB";"5b, 6b";"27_5_B,27_6_B";;"FIDES match but difference with area";;
"North-East Atlantic";"Herring";"Clupea harengus";"ICES";;"HER";"07A/MM";"7aN";"27_7_A";;"FIDES match but difference with area";;
"North-East Atlantic";"Herring";"Clupea harengus";"ICES";;"HER";"6AS7BC";"6a, 7bc";"27_6_A,27_7_B,27_7_C";;"FIDES match but difference with area";;
"North-East Atlantic";"Herring";"Clupea harengus";"ICES";;"HER";"7G-K";"7aS, 7gh, 7jk";"27_7_A,27_7_G,27_7_H,27_7_J,27_7_K";;"FIDES match but difference with area";;
"North-East Atlantic";"Conger";"Conger conger";"ICES";;"COE";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"NEAFC Stock - Deep Sea Fisheries";;;
"North-East Atlantic";"Roundnose grenadier";"Coryphaenoides rupestris";"ICES";;"RNG";"No TAC";"5b, 6, 7";"27_5_B,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K";"to be confirmed";"No target species";;
"North-East Atlantic";"Roundnose grenadier";"Coryphaenoides rupestris";"ICES";;"RNG";"No TAC";"8, 9, 10, 12, 14";"27_8,27_9,27_10,27_12,27_14";"to be confirmed";"No target species";;
"North-East Atlantic";"Kitefin shark";"Dalatias licha";"ICES";;"SCK";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"NEAFC Stock - Deep Sea Fisheries";"Prohibited";;
"North-East Atlantic";"Common stingray";"Dasyatis pastinaca";"ICES";;"SRX";"No TAC";"7, 8";"27_7,27_8";"SRX = all rays";;;
"North-East Atlantic";"Birdbeak dogfish";"Deania calcea";"ICES";;"DCA";"No TAC";"5, 6, 7, 9, 10, 12";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12";;"Prohibited";;
"North-East Atlantic";"Sea bass";"Dicentrarchus labrax";"ICES";;"BSS";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";;;;
"North-East Atlantic";"Wedge sole";"Dicologlossa cuneata";"ICES";;"CET";"No TAC";"8c, 9";"27_8_C,27_9";;;;
"North-East Atlantic";"Blue skate";"Dipturus batis, Dipturis intermedius";"ICES";;"DRJ,RJB";"No TAC";"6, 7a, 7e-k";"27_6,27_7_A,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K";;"Prohibited";;
"North-East Atlantic";"Blue skate";"Dipturus batis, Dipturis intermedius";"ICES";;"DRJ,RJB";"No TAC";"8, 9a";"27_8_C,27_9_A";;"Prohibited";;
"North-East Atlantic";"Anchovy";"Engraulis encrasicolus";"ICES";;"ANE";"08.";8;"27_8";;"FIDES match";;
"North-East Atlantic";"Anchovy";"Engraulis encrasicolus";"ICES";;"ANE";"sept-11";"9, 10";"27_9,27_10";;"FIDES match";;
"North-East Atlantic";"Great lanternshark";"Etmopterus princeps";"ICES";;"ETR";"No TAC";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_7,27_8,27_9,27_10";;;;
"North-East Atlantic";"Velvet belly";"Etmopterus spinax";"ICES";;"ETX";"No TAC";"6, 7, 8, 10";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_10";;;;
"North-East Atlantic";"Grey gurnard";"Eutrigla gurnardus";"ICES";;"GUG";"No TAC";"7e";"27_7_E";;;;
"North-East Atlantic";"Cod";"Gadus morhua";"ICES";;"COD";"05B-F.";"5b";"27_5_B";"Faroe zone: Vb)";"FIDES match";;
"North-East Atlantic";"Cod";"Gadus morhua";"ICES";;"COD";"5BE6A";"6a";"27_6_A";"Via,   EU and international waters of Vb east of 12W";"FIDES match (area <)";;
"North-East Atlantic";"Cod";"Gadus morhua";"ICES";;"COD";"5W6-14";"6b";"27_6_B";"Vib,   EU and international waters of Vb west of 12 W and of XII and XIV";"FIDES match (area <)";;
"North-East Atlantic";"Cod";"Gadus morhua";"ICES";;"COD";"07A.";"7a";"27_7_A";"ICES division VIIa - Irish Sea";"FIDES match";;
"North-East Atlantic";"Cod";"Gadus morhua";"ICES";;"COD";"7XAD34";"7b, 7c, 7e-k, 8, 9, 10";"27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";"VII b-c, e-k, VIII, IX and X, EC waters of CECAF 34.1.1";"FIDES match";;
"North-East Atlantic";"Cod";"Gadus morhua";"ICES";;"COD";"5W6-14";"5, 14";"27_5,27_14";;"FIDES match (area <)";;
"North-East Atlantic";"Tope shark";"Galeorhinus galeus";"ICES";;"GAG";"No TAC";"5-10, 12";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12";;;;
"North-East Atlantic";"Black-mouthed dogfish";"Galeus melastomus";"ICES";;"SHO";"No TAC";"6, 7";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K";;;;
"North-East Atlantic";"Black-mouthed dogfish";"Galeus melastomus";"ICES";;"SHO";"No TAC";"8, 9a";"27_8,27_9_A";;;;
"North-East Atlantic";"Mouse catshark";"Galeus murinus";"ICES";;"GAM";"No TAC";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";;;;
"North-East Atlantic";"Witch ";"Glyptocephalus cynoglossus";"ICES";;"WIT";"No TAC";"6, 7";"27_6,27_7_A,27_7_B,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K";;;;
"North-East Atlantic";"Bluntnose sixgill shark";"Hexanchus griseus";"ICES";;"SBL";"No TAC";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";;;;
"North-East Atlantic";"Bluemouth rockfish";"Helicolenus dactylopterus";"ICES";;"BRF";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";;;;
"North-East Atlantic";"Atlantic halibut";"Hippoglossus hippoglossus";"ICES";;"HAL";"No TAC";"5, 14";"27_5,27_14";;;;
"North-East Atlantic";"Lobster";"Homarus gammarus";"ICES";;"LBE";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";;;;
"North-East Atlantic";"Orange roughy";"Hoplostethus atlanticus";"ICES";;"ORY";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";;;;
"North-East Atlantic";"Silver scabbardfish";"Lepidopus caudatus";"ICES";;"SFS";"No TAC";"9a";"27_9_A";"NEAFC Stock - Deep Sea Fisheries";;;
"North-East Atlantic";"Four-spot megrim";"Lepidorhombus boscii";"ICES";;"LDB";"No TAC";"8c, 9a";"27_8_C,27_9_A";"VIIIc), IX, X,  COPACE 34.1.1 (1),   international waters of XII and XIV ";;;
"North-East Atlantic";"Four-spot megrim";"Lepidorhombus spp.";"ICES";;"LEZ";"8C3411";"8c, 9a";"27_8_C,27_9_A";"VIIIc), IX, X,  COPACE 34.1.1 (1),   international waters of XII and XIV ";"Extra row for L. spp.";;
"North-East Atlantic";"Megrim";"Lepidorhombus whiffiagonis";"ICES";;"MEG";"No TAC";6;"27_6";"VI,  EU and international waters of Vb";;;
"North-East Atlantic";"Megrim";"Lepidorhombus spp.";"ICES";;"LEZ";"56-14";"5b,6,12,14";"27_5_B, 27_6,27_12,27_14";"VI,  EU and international waters of Vb, XII and XIV";"Extra row for L. spp.";;
"North-East Atlantic";"Megrim";"Lepidorhombus whiffiagonis";"ICES";;"MEG";"No TAC";"7, 8abd";"27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B";;"FIDES match but difference with area";;
"North-East Atlantic";"Megrim";"Lepidorhombus spp.";"ICES";;"LEZ";"07.,8ABDE.";"7, 8abd";"27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B";;"Extra row for L. spp.";;
"North-East Atlantic";"Megrim";"Lepidorhombus whiffiagonis";"ICES";;"MEG";"No TAC";"8c, 9a";"27_8_C,27_9_A";;"FIDES match but difference with area";;
"North-East Atlantic";"Megrim";"Lepidorhombus whiffiagonis";"ICES";;"LEZ";"8C3411";"8c, 9a";"27_8_C,27_9_A";;"Extra row for L. spp.";;
"North-East Atlantic";"Sandy ray";"Leucoraja circularis";"ICES";;"RJI";"67AKXD";"6, 7";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_7_K";;"FIDES match";;
"North-East Atlantic";"Shagreen ray";"Leucoraja fullonica";"ICES";;"RJF";"67AKXD";"6, 7";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K";;"FIDES match";;
"North-East Atlantic";"Cuckoo ray";"Leucoraja naevus";"ICES";;"RJN";"67AKXD";"6, 7, 8ab";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B";;"FIDES match";;
"North-East Atlantic";"Cuckoo ray";"Leucoraja naevus";"ICES";;"RJN";"89-C.";"8c";"27_8_C";;"FIDES match but difference with area";;
"North-East Atlantic";"Cuckoo ray";"Leucoraja naevus";"ICES";;"RJN";"89-C.";"9a";"27_9_A";;"FIDES match but difference with area";;
"North-East Atlantic";"Dab";"Limanda limanda";"ICES";;"DAB";"No TAC";"7a, 7f-h";"27_7_A,27_7_F,27_7_G,27_7_H";;;;
"North-East Atlantic";"Dab";"Limanda limanda";"ICES";;"DAB";"No TAC";"7e";"27_7_E";;;;
"North-East Atlantic";"Common squid";"Loligo vulgaris";"ICES";;"SQR";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_C,27_8_D,27_8_E,27_9_A,27_9_ B,27_10,27_12,27_14";;;;
"North-East Atlantic";"Black-bellied angler";"Lophius budegassa";"ICES";;"ANK";"No TAC";6;"27_6";;;;
"North-East Atlantic";"Black-bellied angler";"Lophius budegassa";"ICES";;"ANK";"07.,8ABDE";"7, 8abd";"27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D";;"FIDES match";;
"North-East Atlantic";"Black-bellied angler";"Lophius budegassa";"ICES";;"ANK";"8C3411";"8c, 9a";"27_8_C,27_9_A";;"FIDES match (area <)";;
"North-East Atlantic";"Anglerfish";"Lophius piscatorius";"ICES";;"MON";"No TAC";6;"27_6";;;;
"North-East Atlantic";"Anglerfish";"Lophius piscatorius";"ICES";;"MON";"No TAC";"5b, 12, 14";"27_5_B,27_12,27_14";;;;
"North-East Atlantic";"Anglerfish";"Lophius spp.";"ICES";;"ANF,MNZ";"56-14";"5b, 6, 12, 14";"27_5_B,27_6,27_12,27_14";;"Extra row with MNZ standing for Lophius spp. and FIDES code standing for lophiidae";;
"North-East Atlantic";"Anglerfish";"Lophius piscatorius";"ICES";;"MON";"No TAC";"7, 8abd";"27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D";;"FIDES match";;
"North-East Atlantic";"Anglerfish";"Lophius spp.";"ICES";;"ANF,MNZ";"07.,8ABDE";"7, 8abde";"27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D,27_8_E";;"Extra row with MNZ standing for Lophius spp. and FIDES code standing for lophiidae";;
"North-East Atlantic";"Anglerfish";"Lophius piscatorius";"ICES";;"MON";"No TAC";"8c, 9a";"27_8_C,27_9_A";;;;
"North-East Atlantic";"Anglerfish";"Lophius spp.";"ICES";;"ANF,MNZ";"8C3411";"8c, 9a";"27_8_C,27_9_A";;"Extra row with MNZ standing for Lophius spp. and FIDES code standing for lophiidae";;
"North-East Atlantic";"Roughhead grenadier";"Macrourus berglax";"ICES";;"RHG";"514GRN";"8, 9, 10, 12, 14";"27_8,27_9,27_10,27_12,27_14";;"FIDES match";;
"North-East Atlantic";"Spider crab";"Maja brachydactyla";"ICES";;"JDV";"No TAC";"5, 6, 7";"27_5,27_6,27_7";;;;
"North-East Atlantic";"Capelin";"Mallotus villosus";"ICES";;"CAP";"514GRN";14;"27_14";"Greenland zone: V & XIV";"FIDES match but difference with area";;
"North-East Atlantic";"Haddock";"Melanogrammus aeglefinus";"ICES";;"HAD";"5BC6A.";"5b, 6a";"27_5_B, 27_6_A";"Faroe zone: Vb)";"FIDES match";;
"North-East Atlantic";"Haddock";"Melanogrammus aeglefinus";"ICES";;"HAD";"6B1214";"6b, 12, 14";"27_6_B,27_12,27_14";"Ec and international waters of Vib),  XII and XIV";"FIDES match";;
"North-East Atlantic";"Haddock";"Melanogrammus aeglefinus";"ICES";;"HAD";"07A.";"7a";"27_7_A";"ICES division VIIa - Irish Sea";"FIDES match";;
"North-East Atlantic";"Haddock";"Melanogrammus aeglefinus";"ICES";;"HAD";"7X7A34";"7b-k, 8, 9, 10";"27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";"VIIbcdefghjk, VII, IX, X, EC waters of CECAF 34.1.1";"FIDES match";;
"North-East Atlantic";"Whiting";"Merlangius merlangus";"ICES";;"WHG";"08.";"8, 9, 10 ";"27_8,27_9,27_10";;"FIDES match but difference with area";;
"North-East Atlantic";"Whiting";"Merlangius merlangus";"ICES";;"WHG";"56-14";"5b, 6, 12, 14";"27_5_B,27_6,27_12,27_14";;"FIDES match";;
"North-East Atlantic";"Whiting";"Merlangius merlangus";"ICES";;"WHG";"07A.";"7a";"27_6_A";;"FIDES match";;
"North-East Atlantic";"Whiting";"Merlangius merlangus";"ICES";;"WHG";"7X7A-C";"7b-k";"27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K";;"FIDES match";;
"North-East Atlantic";"Hake";"Merluccius merluccius";"ICES";;"HKE";571214;"5b, 6, 7, 12, 14";"27_5_B,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_12,27_14";"VIIIabde, Vb (1), Vi, VII, XII, XIV";"FIDES match";;
"North-East Atlantic";"Hake";"Merluccius merluccius";"ICES";;"HKE";"8ABDE.";"8abde";"27_8_A,27_8_B,27_8_D,27_8_E";;"FIDES match";;
"North-East Atlantic";"Hake";"Merluccius merluccius";"ICES";;"HKE";"8C3411";"8c, 9, 10";"27_8_C,27_9,27_10";"VIIIc), IX, X, COPACE 34.1.1 (1), internatina waters of XII and XIV";"FIDES match";;
"North-East Atlantic";"Wedge sole";"Microchirus variegatus";"ICES";;"MKG";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";;;;
"North-East Atlantic";"Blue whiting";"Micromesistius poutassou";"ICES";;"WHB";"1X14";"1-9, 12, 14";"27_1,27_2,27_3,27_4,27_5,27_6,27_7,27_8,27_9,27_12,27_14";"FIDES match";"FIDES match";;
"North-East Atlantic";"Lemon sole";"Microstomus kitt";"ICES";;"LEM";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";;;;
"North-East Atlantic";"Blue ling";"Molva dypterygia";"ICES";;"BLI";"5B67-";"5b, 6, 7";"27_5_B,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K";"EU waters of Iia, IV, Vb, VI and VII";"FIDES match";;
"North-East Atlantic";"Blue ling";"Molva dypterygia";"ICES";;"BLI";"12INT-";12;"27_12";"EU waters of Iia, IV, Vb, VI and VII";"FIDES match";;
"North-East Atlantic";"Spanish ling";"Molva macrophthalma";"ICES";;"SLI";"No TAC";10;"27_10";;;;
"North-East Atlantic";"Ling";"Molva molva";"ICES";;"LIN";"05EI.";5;"27_5";"VI, VII, VIII, IX, X, XII, XIV (1)(2)";"FIDES match";;
"North-East Atlantic";"Ling";"Molva molva";"ICES";;"LIN";"6X14.";"juin-14";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"VI, VII, VIII, IX, X, XII, XIV (1)(2)";"FIDES match";;
"North-East Atlantic";"Striped red mullet";"Mullus surmuletus";"ICES";;"MUR";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";;;;
"North-East Atlantic";"Starry smooth-hound";"Mustelus asterias";"ICES";;"SDS";"No TAC";"6, 7, 8, 9";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_9,27_7_K,27_8,27_9";;;;
"North-East Atlantic";"Smooth-hound";"Mustelus mustelus";"ICES";;"SMD";"No TAC";"6, 7, 8, 9";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_9,27_7_K,27_8,27_9";;;;
"North-East Atlantic";"Blackspotted smooth-hound";"Mustelus punctulatus";"ICES";;"MPT";"No TAC";"6, 7, 8, 9";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_9,27_7_K,27_8,27_9";;;;
"North-East Atlantic";"Smooth-hound";"Mustelus spp.";"ICES";;"SKH";"No TAC";"5-10, 12, 14";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_9,27_7_K,27_10,27_12,27_14";;;;
"North-East Atlantic";"Norway lobster";"Nephrops norvegicus";"ICES";;"NEP";"5BC6.";"5b, 6";"27_5_B,27_6";"Vb) (1), VI";"FIDES match";;
"North-East Atlantic";"Norway lobster";"Nephrops norvegicus";"ICES";;"NEP";"07.";7;"27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K";"VII";"FIDES match";;
"North-East Atlantic";"Norway lobster";"Nephrops norvegicus";"ICES";;"NEP";"8ABDE.";"8abde";"27_8_A,27_8_B,27_8_D,27_8_E";"VIIIabde";"FIDES match";;
"North-East Atlantic";"Norway lobster";"Nephrops norvegicus";"ICES";;"NEP";"08C.";"8c";"27_8_C";"ICES division VIIIc - Bay of Biscay - South";"FIDES match";;
"North-East Atlantic";"Norway lobster";"Nephrops norvegicus";"ICES";;"NEP";"sept-11";9;"27_9";"Functional Units 26 and 27 of ICES division IXa";"FIDES match but difference with area";;
"North-East Atlantic";"Common octopus";"Octopus vulgaris";"ICES";;"OCC";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D,27_8_C,27_8_E,27_9_A,27_9_B,27_10,27_12,27_14";;;;
"North-East Atlantic";"Sailfin roughshark";"Oxynotus paradoxus";"ICES";;"OXN";"No TAC";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";;;;
